FID,Shape,Shape_Leng,Shape_Area,RATIO,CONVEX,PERIM,AREA,MAJORITY,SCORE
3819,Polygon ZM,202.098533,0.283367,23.8669,0.828373,167.413,0.39469,71,4.096204446
3848,Polygon ZM,197.585055,0.29073,23.0365,0.803553,158.77,0.384179,52,4.525451316
3869,Polygon ZM,346.947771,1.031103,21.4794,0.784648,272.232,1.29919,52,4.625631749
3890,Polygon ZM,279.856978,0.404901,27.6484,0.822256,230.114,0.647841,71,4.91433721
3899,Polygon ZM,198.326433,0.263189,24.3027,0.810295,160.703,0.374539,71,4.610343704
4010,Polygon ZM,164.12472,0.228683,21.5757,0.792988,130.149,0.301446,52,4.466428808
4013,Polygon ZM,323.720745,0.784645,22.9743,0.807468,261.394,1.04275,21,4.423287928
4069,Polygon ZM,364.955856,1.204967,20.9007,0.794869,290.092,1.44388,21,4.287381492
4158,Polygon ZM,378.397571,1.599048,18.8116,0.862585,326.4,1.74441,52,2.584996014
4168,Polygon ZM,481.943477,2.327125,19.8607,0.817015,393.755,2.65957,52,3.63421019
4174,Polygon ZM,163.285359,0.164661,25.2965,0.822848,134.359,0.257282,71,4.481325568
4176,Polygon ZM,223.437681,0.267459,27.1604,0.829045,185.24,0.421762,21,4.643206182
4177,Polygon ZM,283.623376,0.411458,27.7963,0.839458,238.09,0.648048,52,4.462473595
4192,Polygon ZM,199.952993,0.329315,21.9044,0.804389,160.84,0.411644,71,4.284741588
4210,Polygon ZM,110.008712,0.102914,21.5575,0.806824,88.7577,0.144079,71,4.16439162
4221,Polygon ZM,457.326301,1.961648,20.5269,0.801902,366.731,2.31268,52,4.066337836
4243,Polygon ZM,574.211989,1.214297,32.7581,0.858756,493.108,2.00667,71,4.626885076
4249,Polygon ZM,319.972789,1.112996,19.0667,0.82968,265.475,1.25465,71,3.247440344
4265,Polygon ZM,358.36277,1.103695,21.4441,0.791237,283.55,1.3694,71,4.476734648
4287,Polygon ZM,383.559117,1.896297,17.5101,0.883387,338.831,2.05089,52,2.041905291
4312,Polygon ZM,650.570068,2.787564,24.4957,0.820273,533.645,3.45865,52,4.402538674
4345,Polygon ZM,273.261968,0.61733,21.864,0.788855,215.564,0.812817,71,4.61647428
4427,Polygon ZM,303.515746,0.707592,22.6829,0.810093,245.876,0.970411,71,4.30764149
4510,Polygon ZM,229.605022,0.329089,25.1613,0.825235,189.478,0.370226,71,4.397314595
4516,Polygon ZM,400.629464,1.322042,21.9043,0.810387,324.665,1.67321,52,4.153340036
4557,Polygon ZM,486.87617,2.082464,21.2099,0.807776,393.287,2.53607,52,4.077051818
4568,Polygon ZM,290.069901,0.535747,24.9133,0.806406,233.914,0.7315,71,4.8230654
4589,Polygon ZM,312.168017,0.855977,21.2112,0.786573,245.543,1.06997,31,4.527042782
4641,Polygon ZM,449.794652,1.976406,20.1134,0.796908,358.445,2.27493,52,4.084870633
4701,Polygon ZM,237.067048,0.475211,21.619,0.787516,186.694,0.599179,52,4.593691596
4736,Polygon ZM,109.998204,0.102892,21.5578,0.80683,88.7499,0.144048,71,4.164320226
4752,Polygon ZM,166.336346,0.245394,21.1088,0.80909,134.581,0.306743,71,4.029881008
4768,Polygon ZM,378.528395,1.001937,23.7731,0.806006,305.096,1.39044,11,4.611838761
4776,Polygon ZM,316.169595,0.695182,23.8385,0.824858,260.795,0.899648,11,4.175122567
4824,Polygon ZM,200.317582,0.351178,21.2503,0.784,157.049,0.444137,52,4.5900648
4916,Polygon ZM,240.319273,0.330163,26.2926,0.840669,202.029,0.577785,21,4.189226251
4958,Polygon ZM,380.603689,1.144897,22.3614,0.897908,341.747,1.35957,11,2.282920049
5001,Polygon ZM,163.557096,0.227145,21.5738,0.792995,129.7,0.299419,52,4.465884469
5043,Polygon ZM,222.676764,0.346266,23.7891,0.830396,184.91,0.468478,71,4.034726516
5050,Polygon ZM,511.997666,2.469881,20.4804,0.792554,405.786,2.93688,52,4.248577058
5057,Polygon ZM,166.716523,0.185175,24.3554,0.824627,137.479,0.277763,71,4.271279564
5066,Polygon ZM,473.157874,1.851707,21.8589,0.778624,368.412,2.33521,71,4.839035846
5085,Polygon ZM,110.167266,0.10325,21.5534,0.806734,88.8757,0.14455,52,4.165539404
5092,Polygon ZM,388.084371,1.473588,20.0977,0.800566,310.687,1.70189,52,4.008164702
5099,Polygon ZM,435.136345,1.785113,20.4739,0.829432,360.916,2.11723,52,3.492192175
5111,Polygon ZM,498.498731,2.366053,20.3732,0.783789,390.718,2.78115,52,4.404909945
5125,Polygon ZM,381.535246,1.203755,21.8612,0.789306,301.148,1.47356,71,4.606023673
5127,Polygon ZM,347.963483,1.182709,20.1142,0.812588,282.751,1.4317,52,3.76964245
5137,Polygon ZM,508.755431,2.24182,21.3608,0.794148,404.027,2.78152,52,4.397163402
5170,Polygon ZM,231.858798,0.46885,21.287,0.795881,184.532,0.611543,71,4.345081153
5214,Polygon ZM,511.984977,2.324478,21.1107,0.769839,394.146,2.71881,52,4.858859823
5217,Polygon ZM,163.510209,0.20638,22.6266,0.804745,131.584,0.268295,52,4.417956783
5279,Polygon ZM,443.199345,1.132017,26.1867,0.907088,402.021,1.34427,21,2.43305867
5364,Polygon ZM,465.435495,2.242016,19.5411,0.844231,392.935,2.55341,52,3.043897606
5385,Polygon ZM,229.757546,0.349996,24.4144,0.820852,188.597,0.483817,52,4.373790931
5553,Polygon ZM,216.58519,0.329384,23.7239,0.799099,173.073,0.452903,52,4.766155234
5568,Polygon ZM,745.591691,4.456801,22.2023,0.787053,586.82,5.55545,71,4.727913178
5615,Polygon ZM,297.074947,1.176095,17.2208,0.919041,273.024,1.238,52,1.394178747
5684,Polygon ZM,202.148188,0.283547,23.8652,0.817757,165.308,0.354434,71,4.349265644
5749,Polygon ZM,187.276572,0.228228,24.6438,0.810475,151.783,0.300847,52,4.670616195
5894,Polygon ZM,110.3573,0.103654,21.5484,0.80663,89.0175,0.145116,52,4.166814108
5935,Polygon ZM,182.121159,0.222981,24.2457,0.834214,151.928,0.354743,21,4.01959762
5970,Polygon ZM,331.095083,0.95377,21.3127,0.781159,258.638,1.11964,52,4.664092581
6018,Polygon ZM,110.392482,0.103729,21.5476,0.806609,89.0436,0.14522,71,4.167111912
6111,Polygon ZM,323.537143,1.010359,20.2346,0.799574,258.692,1.21243,21,4.05553994
6144,Polygon ZM,474.902012,1.948572,21.3872,0.783237,371.961,2.36316,21,4.635953634
6168,Polygon ZM,384.728522,1.80484,18.0029,0.857503,329.906,1.92931,52,2.565359241
6185,Polygon ZM,681.960316,4.743658,19.6839,0.840916,573.471,5.17867,52,3.131393548
6305,Polygon ZM,426.895012,1.649154,20.8977,0.817934,349.172,2.01563,71,3.804760648
6427,Polygon ZM,536.000174,1.515082,27.3751,0.872908,467.879,2.03021,21,3.479156209
6438,Polygon ZM,110.473362,0.103901,21.5455,0.806565,89.104,0.145461,21,4.167653793
6463,Polygon ZM,130.074589,0.123507,23.2677,0.790131,102.776,0.164677,52,4.883168931
6487,Polygon ZM,401.805997,1.558374,20.2343,0.804231,323.145,1.84927,71,3.961248677
6495,Polygon ZM,217.741641,0.353381,23.0265,0.820013,178.551,0.498891,21,4.144470656
6572,Polygon ZM,494.986345,1.907458,22.5307,0.809624,400.753,2.50873,21,4.289304543
6573,Polygon ZM,331.035548,0.870478,22.3051,0.781853,258.821,1.11919,52,4.86579065
6575,Polygon ZM,381.829875,1.413335,20.1909,0.810007,309.285,1.69392,52,3.836129664
6595,Polygon ZM,167.345406,0.207843,23.0757,0.792116,132.557,0.29098,52,4.797068819
6605,Polygon ZM,225.847377,0.363405,23.552,0.829246,187.283,0.434067,71,4.021598208
6661,Polygon ZM,381.09766,1.470405,19.7572,0.80005,304.897,1.71892,52,3.95045214
6663,Polygon ZM,1047.977763,12.68027,18.501,0.850188,890.978,13.7098,71,2.771671812
6676,Polygon ZM,163.914244,0.228113,21.575,0.792988,129.982,0.300694,52,4.4662839
6692,Polygon ZM,413.055068,1.132001,24.4058,0.801135,330.913,1.42015,52,4.853459417
6731,Polygon ZM,395.169518,0.827229,27.3136,0.817242,322.949,1.07943,21,4.991778909
6737,Polygon ZM,379.845163,1.440759,19.8939,0.817322,310.456,1.65687,52,3.634177864
6743,Polygon ZM,406.154256,1.070286,24.6802,0.812014,329.803,1.33786,52,4.639532077
6748,Polygon ZM,466.337764,1.81125,21.7831,0.77945,363.487,2.24348,52,4.804262705
6755,Polygon ZM,203.381555,0.246905,25.7309,0.830124,168.832,0.390933,52,4.371062368
6756,Polygon ZM,243.56449,0.329469,26.6757,0.81585,198.712,0.463315,52,4.912330155
6758,Polygon ZM,414.970022,1.597455,20.6401,0.801027,332.402,1.90865,71,4.106822617
6789,Polygon ZM,423.474137,1.544127,21.4237,0.80028,338.898,1.90442,52,4.278741364
6801,Polygon ZM,378.111289,1.431103,19.8698,0.819679,309.93,1.64888,71,3.582942206
6807,Polygon ZM,291.070574,0.663746,22.4598,0.801421,233.27,0.90228,71,4.460044624
6839,Polygon ZM,164.130839,0.228699,21.5758,0.792989,130.154,0.301467,52,4.466427934
6864,Polygon ZM,401.488084,1.493679,20.6515,0.778048,312.377,1.753,52,4.583641728
6868,Polygon ZM,345.067824,1.226704,19.5859,0.836977,288.814,1.44502,71,3.192952176
6871,Polygon ZM,385.125191,1.351384,20.8267,0.762165,293.529,1.58008,52,4.953318195
6887,Polygon ZM,401.94992,1.517901,20.5097,0.813315,326.912,1.8194,71,3.828853345
6911,Polygon ZM,341.821399,1.268208,19.0815,0.872748,298.324,1.48651,52,2.428159038
6913,Polygon ZM,425.227131,1.559595,21.4054,0.781587,332.352,1.87151,71,4.67521763
6919,Polygon ZM,224.233059,0.311869,25.2419,0.829793,186.067,0.4782,52,4.296348073
6927,Polygon ZM,217.815128,0.415996,21.2301,0.804774,175.292,0.530396,52,4.144667503
6962,Polygon ZM,508.99819,2.264594,21.2632,0.787001,400.582,2.84632,71,4.529040337
6964,Polygon ZM,261.054536,0.457351,24.2669,0.820001,214.065,0.665237,71,4.368017733
6979,Polygon ZM,109.619599,0.10209,21.5678,0.807048,88.4683,0.142925,22,4.161550146
7009,Polygon ZM,257.823793,0.582112,21.2436,0.798619,205.903,0.717245,71,4.278057412
7019,Polygon ZM,624.908926,1.227365,35.46,0.919739,574.753,1.75784,52,2.84605506
7030,Polygon ZM,304.398202,0.457638,28.2872,0.84713,257.865,0.644853,52,4.324264264
7073,Polygon ZM,147.166369,0.145168,24.2819,0.818706,120.486,0.197013,71,4.402162779
7082,Polygon ZM,271.001012,0.497717,24.1484,0.799373,216.631,0.653255,52,4.844821047
7088,Polygon ZM,183.244459,0.267234,22.284,0.816898,149.692,0.34946,21,4.080244968
7116,Polygon ZM,495.137547,2.302903,20.5115,0.791911,392.105,2.61411,71,4.268217524
7125,Polygon ZM,379.873289,1.420376,20.0376,0.819729,311.393,1.62623,52,3.61219819
7167,Polygon ZM,187.372474,0.207817,25.8389,0.812286,152.2,0.301335,52,4.850323275
7184,Polygon ZM,400.17821,0.737102,29.3021,0.848642,339.608,1.08518,95,4.435107252
7193,Polygon ZM,691.483014,3.439105,23.4405,0.822642,568.843,4.41148,95,4.157360199
7207,Polygon ZM,419.79691,2.241513,17.6269,0.879285,369.121,2.43687,52,2.127831234
7218,Polygon ZM,1084.925245,4.707612,31.4346,0.892658,968.467,6.3655,95,3.374252833
7250,Polygon ZM,306.129594,0.86253,20.7218,0.798626,244.483,1.04736,71,4.172831753
7319,Polygon ZM,109.653567,0.102161,21.5669,0.807027,88.4934,0.143026,22,4.161829394
7380,Polygon ZM,777.023697,6.725419,18.8358,0.799449,621.191,7.26713,71,3.777538526
7422,Polygon ZM,1207.091487,14.615542,19.8491,0.800568,966.359,15.8387,71,3.958545711
7454,Polygon ZM,207.269287,0.290231,24.1864,0.832453,172.542,0.373154,11,4.052358761
7460,Polygon ZM,344.662009,1.078833,20.8605,0.804788,277.38,1.32779,11,4.072219926
7463,Polygon ZM,200.793912,0.352849,21.2503,0.811339,162.912,0.467006,52,4.009102848
7466,Polygon ZM,336.271564,1.022566,20.9051,0.890355,299.401,1.17595,11,2.29213969
7498,Polygon ZM,478.670591,2.493055,19.0581,0.843931,403.965,2.80469,71,2.974378609
7509,Polygon ZM,391.244633,2.084105,17.0372,0.91417,357.664,2.16583,95,1.462302876
7556,Polygon ZM,297.660278,0.684595,22.6158,0.820341,244.183,0.829813,71,4.063132012
7566,Polygon ZM,654.827642,4.625324,19.141,0.806716,528.26,5.07558,71,3.699649044
7572,Polygon ZM,276.465385,0.554313,23.3438,0.787509,217.719,0.708289,21,4.960347406
7590,Polygon ZM,594.824079,4.198482,18.2495,0.831251,494.448,4.48521,71,3.079584876
7598,Polygon ZM,403.694945,1.002427,25.3475,0.888916,358.851,1.26838,11,2.81570169
7599,Polygon ZM,508.410274,2.736531,19.3207,0.805416,409.482,3.06823,11,3.759499089
7656,Polygon ZM,291.199525,0.768107,20.8876,0.788281,229.547,0.975704,52,4.422301784
7672,Polygon ZM,528.860569,2.740682,20.0826,0.800188,423.188,3.23899,71,4.012744471
7739,Polygon ZM,260.937848,0.477532,23.738,0.794147,207.223,0.612486,71,4.886538514
7740,Polygon ZM,820.066652,7.474295,18.857,0.820827,673.133,8.23211,71,3.378665261
7746,Polygon ZM,110.098638,0.103105,21.5552,0.806774,88.8247,0.144347,71,4.165025075
7753,Polygon ZM,357.589023,0.828217,24.7013,0.806627,288.441,1.12844,11,4.776564485
7815,Polygon ZM,110.092828,0.103093,21.5553,0.806776,88.8203,0.14433,21,4.165001287
7840,Polygon ZM,387.732814,1.677442,18.8199,0.864541,335.211,1.84312,71,2.549324834
7841,Polygon ZM,486.063665,2.329661,20.0196,0.821689,399.393,2.69367,71,3.569714896
7842,Polygon ZM,334.749077,1.081291,20.2375,0.851375,284.997,1.25804,71,3.007798438
7847,Polygon ZM,364.366297,1.366803,19.5927,0.798043,290.78,1.53248,71,3.956882914
7848,Polygon ZM,512.490654,2.807486,19.2281,0.823408,421.989,3.17142,71,3.395528635
7851,Polygon ZM,310.868628,0.911169,20.4732,0.80331,249.724,1.09755,21,4.026873708
7874,Polygon ZM,311.032599,0.704859,23.2897,0.805417,250.511,0.953633,71,4.531779695
7886,Polygon ZM,415.476877,1.351316,22.4686,0.79635,330.865,1.75671,71,4.57573039
7899,Polygon ZM,432.340974,1.788345,20.324,0.823345,355.966,2.13146,71,3.59033622
7900,Polygon ZM,348.353263,1.268682,19.4425,0.816441,284.41,1.46627,71,3.568845858
7915,Polygon ZM,482.464002,2.472364,19.2893,0.836342,403.505,2.77362,71,3.156848259
7917,Polygon ZM,492.266636,2.223514,20.7534,0.807725,397.616,2.76381,71,3.990359985
7924,Polygon ZM,742.745109,4.479829,22.0606,0.776989,577.105,5.40276,95,4.919756467
7932,Polygon ZM,204.16957,0.353317,21.5932,0.808328,165.036,0.446842,71,4.13881183
7935,Polygon ZM,187.379231,0.290978,21.8373,0.814343,152.591,0.374114,52,4.054247606
7938,Polygon ZM,498.597933,2.57482,19.5337,0.818154,407.93,2.86553,71,3.55212521
7946,Polygon ZM,588.898959,3.694711,19.2601,0.792676,466.806,4.02682,71,3.993080972
7954,Polygon ZM,696.411762,4.737758,20.1135,0.775989,540.408,5.28842,71,4.505645249
