ID,Index,cv,mode,nbr,ndsi,ndvi,rcvmax
1_70_634,0,5005667.5,82,0.03342444,-0.002351668,0.09942587,0.851034896
1_70_635,0,5383883,82,0.028372882,-0.0044364,0.07849822,0.886978918
1_70_636,0,5409755.75,82,0.024180613,-0.004071315,0.08345294,0.905721376
1_70_637,0,5409755.75,82,0.024180613,-0.004071315,0.08345294,0.905721376
1_70_638,0,5199622.75,82,0.052298397,-0.001507677,0.08125122,0.851903626
1_70_639,0,5243208.75,82,0.040944297,0.004534728,0.073083684,0.856476679
1_70_640,0,5408355.5,82,0.06282141,0.002174978,0.089043304,0.85256357
1_70_641,0,5058675.75,82,0.041601114,-0.004531831,0.08522368,0.84498151
1_70_642,0,5106891.75,82,0.03531576,-0.00359864,0.07857454,0.84969021
1_70_643,0,5633224.25,82,0.05264421,-0.001123415,0.08129929,0.879409696
1_71_0,0,5077161.5,82,0.060547575,-0.051519815,0.119994305,0.802368314
1_71_1,0,5263291.5,82,0.04582751,-0.06478982,0.111148424,0.838934132
1_71_2,0,5294345,82,0.042518422,-0.067263,0.11207019,0.846817839
1_71_3,0,5294345,82,0.042518422,-0.067263,0.11207019,0.846817839
1_71_4,0,5090207.25,82,0.05933515,-0.057590295,0.11692522,0.798664749
1_71_5,0,5014979.5,82,0.065823525,-0.054321356,0.11710661,0.776540699
1_71_6,0,4963080.75,82,0.058890957,-0.05483136,0.09528679,0.765900963
1_71_7,0,4972064.75,82,0.055371508,-0.045692228,0.10974603,0.765519552
1_71_8,0,4947771,82,0.057114933,-0.044243846,0.10857011,0.754967863
1_71_9,0,4947771,82,0.057114933,-0.044243846,0.10857011,0.754967863
1_71_10,0,4997067.25,82,0.044649504,-0.047780924,0.10328549,0.75495978
1_71_11,0,4909219.75,82,0.05721239,-0.048620056,0.1139296,0.740609029
1_71_12,0,4902891,82,0.052892115,-0.06033193,0.100758925,0.755303364
1_71_13,0,4757399.75,82,0.056155656,-0.056761853,0.10036491,0.74386748
1_71_14,0,4744968.5,82,0.081804045,-0.048586104,0.12049561,0.744011538
1_71_15,0,4744968.5,82,0.081804045,-0.048586104,0.12049561,0.744011538
1_71_16,0,4822766.25,82,0.08686172,-0.05774797,0.13531278,0.760694697
1_71_17,0,4775486.75,82,0.095595464,-0.05181378,0.13295828,0.7484344
1_71_18,0,4828367.25,82,0.0889259,-0.05366197,0.12973738,0.756950428
1_71_19,0,4793538.75,82,0.06683551,-0.039598707,0.087851144,0.731090301
1_71_20,0,5056301.25,82,0.05052793,-0.054601975,0.095571436,0.793768349
1_71_21,0,5013795.5,82,0.06081192,-0.059492934,0.113577135,0.801939458
1_71_22,0,5013795.5,82,0.06081192,-0.059492934,0.113577135,0.801939458
1_71_23,0,4906784,82,0.0731299,-0.047536407,0.116389684,0.759152097
1_71_24,0,4914370,82,0.07632196,-0.051293872,0.12385316,0.756089023
