ID,Index,cv,mode,nbr,ndsi,ndvi,rcvmax
1_95_2708,0,5288823.75,82,-0.10516628,-0.08772147,0.07512875,0.592498099
1_95_2709,0,6105103.5,82,-0.120758206,-0.10547627,0.07939938,0.663802057
1_95_2710,0,7197166,82,-0.13147454,-0.11235299,0.08699301,0.734099059
1_95_2711,0,7794593.75,82,-0.14233826,-0.122391395,0.07920199,0.755922932
1_95_2712,0,7794593.75,82,-0.14233826,-0.122391395,0.07920199,0.755922932
1_95_2713,0,8576542,82,-0.16624574,-0.1269789,0.07286502,0.815500039
1_95_2714,0,8266967,82,-0.13832739,-0.13412343,0.11972628,0.823762699
1_95_2715,0,7453566.25,82,-0.14237884,-0.12059065,0.096089505,0.761575494
1_95_2716,0,8297033,82,-0.17638989,-0.12440593,0.06395445,0.80860158
1_95_2717,0,8007005.25,82,-0.17209195,-0.11966422,0.06427449,0.788840705
1_95_2718,0,8524185.5,82,-0.17210373,-0.12783416,0.07177424,0.801900307
1_95_2719,0,8684607.5,82,-0.17065082,-0.12439913,0.07320308,0.795132922
1_95_2720,0,9240166.25,82,-0.19152156,-0.1322267,0.0665621,0.867940165
1_95_2721,0,9935963.5,82,-0.2117345,-0.15084326,0.06950245,0.945723629
1_95_2722,0,9977142,82,-0.21294388,-0.15247773,0.066582575,0.951318235
1_95_2723,0,9563161.25,82,-0.20527902,-0.14513956,0.060325004,0.90799885
1_95_2724,0,8410719.75,82,-0.18369468,-0.13553905,0.06790332,0.852547662
1_95_2725,0,7017003,82,-0.15430577,-0.12290319,0.07741143,0.755154355
1_95_2726,0,7021204.25,82,-0.15292345,-0.124054305,0.07886957,0.756691601
1_95_2727,0,6420478.5,82,-0.13440599,-0.11664096,0.0777139,0.699835827
1_95_2728,0,6210818.75,82,-0.12542154,-0.10605617,0.07324937,0.646624039
1_95_2729,0,6302497,82,-0.12673913,-0.105342574,0.07690508,0.649641785
1_95_2730,0,6783421,82,-0.14513066,-0.11271779,0.07491011,0.706856304
1_95_2731,0,7080876.75,82,-0.15146172,-0.11600578,0.06979482,0.72048435
1_95_2732,0,7484594.25,82,-0.15961511,-0.120579414,0.06576802,0.742582643
1_95_2733,0,7196185.25,82,-0.15611823,-0.11267871,0.060924023,0.717177871
1_95_2734,0,6831030.5,82,-0.14474611,-0.10843865,0.06591326,0.69226586
1_95_2735,0,6415762.5,82,-0.12003144,-0.11259544,0.07446545,0.675276385
1_95_2736,0,6331302.25,82,-0.11583494,-0.11264637,0.07636147,0.671516675
1_95_2737,0,755758.25,82,0.14469148,-0.002663163,0.25919837,0.139635269
1_95_2738,0,1007481,82,0.18413597,0.03107481,0.25426388,0.134289062
1_95_2739,0,1063307,82,0.19134225,0.025128987,0.2718665,0.147422743
1_95_2740,0,1214057,82,0.19903484,0.011358289,0.30169126,0.179075594
1_95_2741,0,1013410.5,82,0.17044291,-0.004359784,0.29236037,0.177701882
1_95_2742,0,1171966.5,82,0.20102517,0.0392358,0.2775746,0.163994876
1_95_2743,0,841073.5,82,0.1433071,0.008254786,0.23442791,0.141275877
1_95_2744,0,976737.75,82,0.1024264,-0.018935898,0.23000206,0.198921984
1_95_2745,0,1665734.75,82,0.06959529,-0.031643797,0.21215694,0.30606297
1_95_2746,0,4044498,82,-0.08438208,-0.106291264,0.14330219,0.566931941
1_95_2747,0,4559843.75,82,-0.10838001,-0.094457954,0.08056127,0.553076502
1_95_2748,0,5399627.75,82,-0.1256539,-0.11459141,0.08514674,0.637803972
1_95_2749,0,5345921,82,-0.11780286,-0.101553544,0.07546309,0.624999017
1_95_2750,0,5314444.75,82,-0.115364335,-0.09479955,0.08146221,0.617137338
1_95_2751,0,6023215.5,82,-0.13558516,-0.108790696,0.07334868,0.672553012
1_95_2752,0,7062946.5,82,-0.14325921,-0.12350464,0.076547675,0.740333948
1_95_2753,0,7158691,82,-0.14476837,-0.11449743,0.069118485,0.720982272
1_95_2754,0,6247587.25,82,-0.1267738,-0.10294386,0.0747653,0.659833465
1_95_2755,0,5084159.5,82,-0.09455692,-0.08248109,0.07765692,0.567129894
1_95_2756,0,5098511,82,-0.096266404,-0.08283577,0.07894803,0.576402512
1_95_2757,0,6831646.25,82,-0.121364735,-0.11623399,0.08850197,0.716873505
1_95_2758,0,7215830.25,82,-0.13028938,-0.11443622,0.08688341,0.728431435
1_95_2759,0,7989025.75,82,-0.14706162,-0.12465536,0.08073317,0.773671309
1_95_2760,0,8206988.5,82,-0.1520729,-0.12530695,0.08058301,0.792998059
1_95_2761,0,8390649,82,-0.15140647,-0.13305213,0.08901677,0.813780092
1_95_2762,0,7503508.25,82,-0.15305348,-0.117435105,0.08043631,0.761768571
1_95_2763,0,6979188.5,82,-0.14628662,-0.107109055,0.07289446,0.718226177
1_95_2764,0,6676934.75,82,-0.13712971,-0.10649528,0.079088956,0.698617856
1_95_2765,0,6512990.75,82,-0.13178395,-0.102692634,0.07468707,0.675764019
1_95_2766,0,7810134.25,82,-0.15473007,-0.11564091,0.075090915,0.747770773
1_95_2767,0,8819454.5,82,-0.1793484,-0.12707594,0.07131867,0.832354789
1_95_2768,0,9401469.75,82,-0.19720596,-0.14348733,0.07169031,0.903609002
1_95_2769,0,9156613.25,82,-0.19378096,-0.14130752,0.070047446,0.887091843
1_95_2770,0,9287120.75,82,-0.20171864,-0.13575822,0.05969023,0.875941853
1_95_2771,0,9512328.75,82,-0.21751939,-0.1405816,0.042142693,0.899472018
1_95_2772,0,7977525.75,82,-0.18434994,-0.13545641,0.056600954,0.807367146
1_95_2773,0,6627295,82,-0.14201115,-0.122541495,0.07691677,0.712545288
1_95_2774,0,5777518.5,82,-0.11425131,-0.11038095,0.086626254,0.646398423
1_95_2775,0,4964469.25,82,-0.09480959,-0.08231555,0.074971646,0.553904854
1_95_2776,0,5671118.5,82,-0.111072384,-0.095413625,0.079305656,0.614328907
1_95_2777,0,6401010.5,82,-0.12872422,-0.10773662,0.080093116,0.680155627
1_95_2778,0,6638031,82,-0.13298857,-0.111995384,0.0767516,0.694779884
1_95_2779,0,6956581,82,-0.13697274,-0.11871774,0.07695077,0.713832689
1_95_2780,0,7153004.5,82,-0.13896541,-0.11970023,0.079305716,0.72470283
1_95_2781,0,6886629.75,82,-0.14135173,-0.116648234,0.062499784,0.699146178
1_95_2782,0,6548351.75,82,-0.12323088,-0.1130002,0.07517651,0.680930707
1_95_2783,0,6342264.75,82,-0.11410367,-0.1129998,0.08369224,0.671959542
1_95_2784,0,826945,82,0.1612681,0.001558983,0.27158156,0.149326695
1_95_2785,0,1056984,82,0.18755044,0.01586545,0.28243804,0.156340264
1_95_2786,0,1192378.75,82,0.19504142,-0.003321677,0.31096712,0.188906406
1_95_2787,0,1210075.25,82,0.19161013,-0.008528796,0.3179024,0.203480964
1_95_2788,0,905790,82,0.15381499,-0.019800834,0.28719193,0.181805517
