system:index,NDVI,NDVI_count,NDVI_disp,confidence,cropland,cultivated_land
249,0.336682826,15,0.007686224,90,176,1
250,0.302423209,3,8.80E-04,94,24,2
252,0.250526965,12,0.001832529,94,61,2
254,0.718950152,5,0.099486321,100,24,2
255,0.548705697,20,0.028124529,90,176,1
258,0.772953331,11,0.160960447,100,24,2
259,0.832402825,8,0.179630481,100,24,2
260,0.499244392,4,0.001665764,91,176,1
261,0.325568408,6,0.00956762,100,61,2
262,0.617513001,11,0.037859022,100,176,1
264,0.757158756,12,0.194955959,100,1,2
267,0.468280256,5,0.036337517,100,24,2
268,0.803278685,20,0.077470837,92,24,2
269,0.432280749,4,0.003369317,100,176,1
271,0.573960364,10,0.028031081,100,176,1
273,0.610878944,3,0.153661523,100,24,2
274,0.540974259,13,0.042368211,100,176,1
275,0.230269939,4,0.001671367,90,121,1
276,0.782903194,18,0.178912744,100,4,2
279,0.20886898,11,9.05E-04,100,61,2
280,0.406231821,5,0.010512449,100,61,2
281,0.517911196,12,0.035538339,91,152,1
283,0.514836192,14,0.025475911,93,176,1
284,0.463414669,7,0.016016091,100,176,1
285,0.531399608,4,0.080632079,100,24,2
286,0.266963542,3,0.001608058,100,61,2
287,0.31111595,3,0.00368287,100,24,2
289,0.565567911,10,0.023608994,100,176,1
294,0.4765881,14,0.024153548,100,176,1
299,0.584583342,6,0.09960355,94,121,1
302,0.551526248,6,0.065715341,100,176,1
303,0.507863164,5,0.053095075,100,176,1
304,0.541548312,3,0.001606648,100,176,1
305,0.514817536,4,0.010137746,93,176,1
308,0.537707984,5,0.019365994,90,24,2
309,0.690487146,5,0.149649364,100,1,2
311,0.66517967,10,0.035338845,91,176,1
312,0.454266727,9,0.024605266,94,152,1
313,0.570812404,21,0.015509742,100,176,1
315,0.344281495,14,0.011954041,91,61,2
316,0.402899295,15,0.013858546,100,176,1
319,0.464551181,8,0.037662383,100,176,1
321,0.465377331,5,0.028861942,100,152,1
322,0.468161047,14,0.028300389,100,24,2
323,0.700648665,6,0.115115234,100,4,2
330,0.599372804,5,0.075623822,100,176,1
331,0.838231683,10,0.207605319,100,24,2
334,0.689958811,9,0.016314636,92,176,1
338,0.305137634,5,0.001703685,100,61,2
339,0.455024123,17,0.012076489,100,176,1
340,0.511937559,10,0.049193941,100,176,1
342,0.798705578,16,0.081613876,91,236,2
343,0.814187467,5,0.224052594,100,24,2
344,0.777708232,22,0.155039681,100,4,2
345,0.782983303,12,0.214442638,100,24,2
346,0.825173736,10,0.225877736,100,4,2
348,0.527506411,7,0.020019302,100,176,1
349,0.428218544,5,0.035449354,100,176,1
351,0.409471899,8,0.011338801,93,152,1
352,0.473563105,12,0.00656266,91,176,1
353,0.485703081,6,0.036570206,100,176,1
354,0.514295101,5,0.055879608,100,61,2
356,0.593424678,6,0.060748913,100,176,1
357,0.70188725,10,0.146597259,100,24,2
359,0.692323327,9,0.011718611,100,176,1
361,0.403312385,13,0.02254112,92,176,1
364,0.676689684,7,0.164587988,94,24,2
368,0.620352507,8,0.01933764,100,24,2
369,0.861083269,4,0.313481967,100,24,2
371,0.652858555,11,0.086729227,100,24,2
372,0.566485703,11,0.06543189,100,176,1
373,0.533088863,7,0.042807309,100,176,1
374,0.600321651,3,0.025030362,94,176,1
