,N1,N0,NEG,,P1,P0,POS,cv,rcv,ndvi,ndsi
neg3230,30,5439,0.994514536,pos3230,654,1174,0.357768053,2,1.5,1,0.5
neg3330,30,5439,0.994514536,pos3330,654,1174,0.357768053,2,2,1,0.5
neg3430,30,5439,0.994514536,pos3430,654,1174,0.357768053,2,2.5,1,0.5
neg2430,46,5423,0.991588956,pos2430,654,1174,0.357768053,1.5,2.5,1,0.5
neg2330,48,5421,0.991223258,pos2330,654,1174,0.357768053,1.5,2,1,0.5
neg2030,53,5416,0.990309014,pos2030,654,1174,0.357768053,1.5,0.75,1,0.5
neg2130,53,5416,0.990309014,pos2130,654,1174,0.357768053,1.5,1,1,0.5
neg2230,53,5416,0.990309014,pos2230,654,1174,0.357768053,1.5,1.5,1,0.5
neg1430,67,5402,0.987749131,pos1430,654,1174,0.357768053,1,2.5,1,0.5
neg1330,70,5399,0.987200585,pos1330,654,1174,0.357768053,1,2,1,0.5
neg0430,74,5395,0.98646919,pos0430,654,1174,0.357768053,0.75,2.5,1,0.5
neg0330,86,5383,0.984275005,pos0330,654,1174,0.357768053,0.75,2,1,0.5
neg1230,245,5224,0.955202048,pos1230,654,1174,0.357768053,1,1.5,1,0.5
neg0230,276,5193,0.949533736,pos0230,654,1174,0.357768053,0.75,1.5,1,0.5
neg1030,538,4931,0.901627354,pos1030,654,1174,0.357768053,1,0.75,1,0.5
neg1130,538,4931,0.901627354,pos1130,654,1174,0.357768053,1,1,1,0.5
neg0030,621,4848,0.886450905,pos0030,654,1174,0.357768053,0.75,0.75,1,0.5
neg0130,621,4848,0.886450905,pos0130,654,1174,0.357768053,0.75,1,1,0.5
neg4030,6,5463,0.998902907,pos4030,651,1177,0.356126915,2.5,0.75,1,0.5
neg4130,6,5463,0.998902907,pos4130,651,1177,0.356126915,2.5,1,1,0.5
neg4230,6,5463,0.998902907,pos4230,651,1177,0.356126915,2.5,1.5,1,0.5
neg4330,6,5463,0.998902907,pos4330,651,1177,0.356126915,2.5,2,1,0.5
neg4430,6,5463,0.998902907,pos4430,651,1177,0.356126915,2.5,2.5,1,0.5
neg3031,30,5439,0.994514536,pos3031,651,1177,0.356126915,2,0.75,1,0.75
neg3131,30,5439,0.994514536,pos3131,651,1177,0.356126915,2,1,1,0.75
neg3231,30,5439,0.994514536,pos3231,651,1177,0.356126915,2,1.5,1,0.75
neg3331,30,5439,0.994514536,pos3331,651,1177,0.356126915,2,2,1,0.75
neg3431,30,5439,0.994514536,pos3431,651,1177,0.356126915,2,2.5,1,0.75
neg2431,46,5423,0.991588956,pos2431,651,1177,0.356126915,1.5,2.5,1,0.75
neg2331,48,5421,0.991223258,pos2331,651,1177,0.356126915,1.5,2,1,0.75
neg2031,53,5416,0.990309014,pos2031,651,1177,0.356126915,1.5,0.75,1,0.75
neg2131,53,5416,0.990309014,pos2131,651,1177,0.356126915,1.5,1,1,0.75
neg2231,53,5416,0.990309014,pos2231,651,1177,0.356126915,1.5,1.5,1,0.75
neg1431,67,5402,0.987749131,pos1431,651,1177,0.356126915,1,2.5,1,0.75
neg1331,70,5399,0.987200585,pos1331,651,1177,0.356126915,1,2,1,0.75
neg0431,74,5395,0.98646919,pos0431,651,1177,0.356126915,0.75,2.5,1,0.75
neg0331,86,5383,0.984275005,pos0331,651,1177,0.356126915,0.75,2,1,0.75
neg1231,245,5224,0.955202048,pos1231,651,1177,0.356126915,1,1.5,1,0.75
neg0231,276,5193,0.949533736,pos0231,651,1177,0.356126915,0.75,1.5,1,0.75
neg1031,538,4931,0.901627354,pos1031,651,1177,0.356126915,1,0.75,1,0.75
neg1131,538,4931,0.901627354,pos1131,651,1177,0.356126915,1,1,1,0.75
neg0031,621,4848,0.886450905,pos0031,651,1177,0.356126915,0.75,0.75,1,0.75
neg0131,621,4848,0.886450905,pos0131,651,1177,0.356126915,0.75,1,1,0.75
neg4031,6,5463,0.998902907,pos4031,648,1180,0.354485777,2.5,0.75,1,0.75
neg4131,6,5463,0.998902907,pos4131,648,1180,0.354485777,2.5,1,1,0.75
neg4231,6,5463,0.998902907,pos4231,648,1180,0.354485777,2.5,1.5,1,0.75
neg4331,6,5463,0.998902907,pos4331,648,1180,0.354485777,2.5,2,1,0.75
neg4431,6,5463,0.998902907,pos4431,648,1180,0.354485777,2.5,2.5,1,0.75
neg3032,30,5439,0.994514536,pos3032,647,1181,0.353938731,2,0.75,1,1
neg3132,30,5439,0.994514536,pos3132,647,1181,0.353938731,2,1,1,1
neg3232,30,5439,0.994514536,pos3232,647,1181,0.353938731,2,1.5,1,1
neg3332,30,5439,0.994514536,pos3332,647,1181,0.353938731,2,2,1,1
neg3432,30,5439,0.994514536,pos3432,647,1181,0.353938731,2,2.5,1,1
neg2432,46,5423,0.991588956,pos2432,647,1181,0.353938731,1.5,2.5,1,1
neg2332,48,5421,0.991223258,pos2332,647,1181,0.353938731,1.5,2,1,1
neg2032,53,5416,0.990309014,pos2032,647,1181,0.353938731,1.5,0.75,1,1
neg2132,53,5416,0.990309014,pos2132,647,1181,0.353938731,1.5,1,1,1
neg2232,53,5416,0.990309014,pos2232,647,1181,0.353938731,1.5,1.5,1,1
neg1432,67,5402,0.987749131,pos1432,647,1181,0.353938731,1,2.5,1,1
neg1332,70,5399,0.987200585,pos1332,647,1181,0.353938731,1,2,1,1
neg0432,74,5395,0.98646919,pos0432,647,1181,0.353938731,0.75,2.5,1,1
neg0332,86,5383,0.984275005,pos0332,647,1181,0.353938731,0.75,2,1,1
neg1232,245,5224,0.955202048,pos1232,647,1181,0.353938731,1,1.5,1,1
neg0232,275,5194,0.949716584,pos0232,647,1181,0.353938731,0.75,1.5,1,1
neg1032,538,4931,0.901627354,pos1032,647,1181,0.353938731,1,0.75,1,1
neg1132,538,4931,0.901627354,pos1132,647,1181,0.353938731,1,1,1,1
neg0032,620,4849,0.886633754,pos0032,647,1181,0.353938731,0.75,0.75,1,1
neg0132,620,4849,0.886633754,pos0132,647,1181,0.353938731,0.75,1,1,1
neg4032,6,5463,0.998902907,pos4032,644,1184,0.352297593,2.5,0.75,1,1
neg4132,6,5463,0.998902907,pos4132,644,1184,0.352297593,2.5,1,1,1
neg4232,6,5463,0.998902907,pos4232,644,1184,0.352297593,2.5,1.5,1,1
neg4332,6,5463,0.998902907,pos4332,644,1184,0.352297593,2.5,2,1,1
neg4432,6,5463,0.998902907,pos4432,644,1184,0.352297593,2.5,2.5,1,1
neg4033,6,5463,0.998902907,pos4033,633,1195,0.346280088,2.5,0.75,1,1.5
neg4133,6,5463,0.998902907,pos4133,633,1195,0.346280088,2.5,1,1,1.5
neg4233,6,5463,0.998902907,pos4233,633,1195,0.346280088,2.5,1.5,1,1.5
neg4333,6,5463,0.998902907,pos4333,633,1195,0.346280088,2.5,2,1,1.5
neg4433,6,5463,0.998902907,pos4433,633,1195,0.346280088,2.5,2.5,1,1.5
neg3033,30,5439,0.994514536,pos3033,633,1195,0.346280088,2,0.75,1,1.5
neg3133,30,5439,0.994514536,pos3133,633,1195,0.346280088,2,1,1,1.5
neg3233,30,5439,0.994514536,pos3233,633,1195,0.346280088,2,1.5,1,1.5
neg3333,30,5439,0.994514536,pos3333,633,1195,0.346280088,2,2,1,1.5
neg3433,30,5439,0.994514536,pos3433,633,1195,0.346280088,2,2.5,1,1.5
neg2433,45,5424,0.991771805,pos2433,633,1195,0.346280088,1.5,2.5,1,1.5
neg2333,47,5422,0.991406107,pos2333,633,1195,0.346280088,1.5,2,1,1.5
neg2033,52,5417,0.990491863,pos2033,633,1195,0.346280088,1.5,0.75,1,1.5
neg2133,52,5417,0.990491863,pos2133,633,1195,0.346280088,1.5,1,1,1.5
neg2233,52,5417,0.990491863,pos2233,633,1195,0.346280088,1.5,1.5,1,1.5
neg1433,66,5403,0.98793198,pos1433,633,1195,0.346280088,1,2.5,1,1.5
neg1333,69,5400,0.987383434,pos1333,633,1195,0.346280088,1,2,1,1.5
neg0433,73,5396,0.986652039,pos0433,633,1195,0.346280088,0.75,2.5,1,1.5
neg0333,85,5384,0.984457853,pos0333,633,1195,0.346280088,0.75,2,1,1.5
neg1233,244,5225,0.955384897,pos1233,633,1195,0.346280088,1,1.5,1,1.5
neg0233,273,5196,0.950082282,pos0233,633,1195,0.346280088,0.75,1.5,1,1.5
neg1033,537,4932,0.901810203,pos1033,633,1195,0.346280088,1,0.75,1,1.5
neg1133,537,4932,0.901810203,pos1133,633,1195,0.346280088,1,1,1,1.5
neg0033,610,4859,0.888462242,pos0033,633,1195,0.346280088,0.75,0.75,1,1.5
neg0133,610,4859,0.888462242,pos0133,633,1195,0.346280088,0.75,1,1,1.5
