,N1,N0,NEG,,P1,P0,POS,cv,rcv,ndvi,ndsi
neg3002,268,5201,0.950996526,pos3002,1617,211,0.884573304,2,0.75,0.25,1
neg3102,268,5201,0.950996526,pos3102,1617,211,0.884573304,2,1,0.25,1
neg4302,57,5412,0.989577619,pos4302,1612,216,0.881838074,2.5,2,0.25,1
neg4402,57,5412,0.989577619,pos4402,1612,216,0.881838074,2.5,2.5,0.25,1
neg4202,59,5410,0.989211922,pos4202,1612,216,0.881838074,2.5,1.5,0.25,1
neg4002,60,5409,0.989029073,pos4002,1612,216,0.881838074,2.5,0.75,0.25,1
neg4102,60,5409,0.989029073,pos4102,1612,216,0.881838074,2.5,1,0.25,1
neg2403,69,5400,0.987383434,pos2403,1595,233,0.872538293,1.5,2.5,0.25,1.5
neg2303,76,5393,0.986103492,pos2303,1595,233,0.872538293,1.5,2,0.25,1.5
neg1403,110,5359,0.979886634,pos1403,1595,233,0.872538293,1,2.5,0.25,1.5
neg1303,120,5349,0.978058146,pos1303,1595,233,0.872538293,1,2,0.25,1.5
neg2203,123,5346,0.9775096,pos2203,1595,233,0.872538293,1.5,1.5,0.25,1.5
neg2003,135,5334,0.975315414,pos2003,1595,233,0.872538293,1.5,0.75,0.25,1.5
neg2103,135,5334,0.975315414,pos2103,1595,233,0.872538293,1.5,1,0.25,1.5
neg0403,145,5324,0.973486926,pos0403,1595,233,0.872538293,0.75,2.5,0.25,1.5
neg0303,173,5296,0.96836716,pos0303,1595,233,0.872538293,0.75,2,0.25,1.5
neg1203,484,4985,0.911501189,pos1203,1595,233,0.872538293,1,1.5,0.25,1.5
neg0203,582,4887,0.893582008,pos0203,1595,233,0.872538293,0.75,1.5,0.25,1.5
neg1003,864,4605,0.842018651,pos1003,1595,233,0.872538293,1,0.75,0.25,1.5
neg1103,864,4605,0.842018651,pos1103,1595,233,0.872538293,1,1,0.25,1.5
neg0003,1111,4358,0.796855001,pos0003,1595,233,0.872538293,0.75,0.75,0.25,1.5
neg0103,1111,4358,0.796855001,pos0103,1595,233,0.872538293,0.75,1,0.25,1.5
neg3403,51,5418,0.990674712,pos3403,1593,235,0.871444201,2,2.5,0.25,1.5
neg3303,52,5417,0.990491863,pos3303,1593,235,0.871444201,2,2,0.25,1.5
neg3203,91,5378,0.983360761,pos3203,1593,235,0.871444201,2,1.5,0.25,1.5
neg3003,100,5369,0.981715122,pos3003,1593,235,0.871444201,2,0.75,0.25,1.5
neg3103,100,5369,0.981715122,pos3103,1593,235,0.871444201,2,1,0.25,1.5
neg4303,14,5455,0.997440117,pos4303,1591,237,0.870350109,2.5,2,0.25,1.5
neg4403,14,5455,0.997440117,pos4403,1591,237,0.870350109,2.5,2.5,0.25,1.5
neg4203,16,5453,0.997074419,pos4203,1591,237,0.870350109,2.5,1.5,0.25,1.5
neg4003,17,5452,0.996891571,pos4003,1591,237,0.870350109,2.5,0.75,0.25,1.5
neg4103,17,5452,0.996891571,pos4103,1591,237,0.870350109,2.5,1,0.25,1.5
neg2410,201,5268,0.963247394,pos2410,1398,430,0.764770241,1.5,2.5,0.5,0.5
neg2310,208,5261,0.961967453,pos2310,1398,430,0.764770241,1.5,2,0.5,0.5
neg2210,240,5229,0.956116292,pos2210,1398,430,0.764770241,1.5,1.5,0.5,0.5
neg1410,244,5225,0.955384897,pos1410,1398,430,0.764770241,1,2.5,0.5,0.5
neg2010,249,5220,0.954470653,pos2010,1398,430,0.764770241,1.5,0.75,0.5,0.5
neg2110,249,5220,0.954470653,pos2110,1398,430,0.764770241,1.5,1,0.5,0.5
neg1310,254,5215,0.953556409,pos1310,1398,430,0.764770241,1,2,0.5,0.5
neg0410,258,5211,0.952825014,pos0410,1398,430,0.764770241,0.75,2.5,0.5,0.5
neg0310,283,5186,0.948253794,pos0310,1398,430,0.764770241,0.75,2,0.5,0.5
neg1210,580,4889,0.893947705,pos1210,1398,430,0.764770241,1,1.5,0.5,0.5
neg0210,648,4821,0.881513988,pos0210,1398,430,0.764770241,0.75,1.5,0.5,0.5
neg1110,952,4517,0.825927958,pos1110,1398,430,0.764770241,1,1,0.5,0.5
neg1010,953,4516,0.825745109,pos1010,1398,430,0.764770241,1,0.75,0.5,0.5
neg0110,1112,4357,0.796672152,pos0110,1398,430,0.764770241,0.75,1,0.5,0.5
neg0010,1113,4356,0.796489303,pos0010,1398,430,0.764770241,0.75,0.75,0.5,0.5
neg3410,132,5337,0.975863961,pos3410,1396,432,0.763676149,2,2.5,0.5,0.5
neg3310,133,5336,0.975681112,pos3310,1396,432,0.763676149,2,2,0.5,0.5
neg3210,157,5312,0.971292741,pos3210,1396,432,0.763676149,2,1.5,0.5,0.5
neg3010,162,5307,0.970378497,pos3010,1396,432,0.763676149,2,0.75,0.5,0.5
neg3110,162,5307,0.970378497,pos3110,1396,432,0.763676149,2,1,0.5,0.5
neg4310,32,5437,0.994148839,pos4310,1390,438,0.760393873,2.5,2,0.5,0.5
neg4410,32,5437,0.994148839,pos4410,1390,438,0.760393873,2.5,2.5,0.5,0.5
