FID,Shape,Shape_Leng,Shape_Area,RATIO,CONVEX,PERIM,AREA,MAJORITY,SCORE
6629,Polygon ZM,1166.240654,4.045387,36.4516,0.538874,628.457,6.86752,71,16.8087805
6642,Polygon ZM,611.623152,1.906245,27.8486,0.690628,422.404,2.51278,71,8.615577079
6643,Polygon ZM,1652.138696,5.661016,43.6524,0.583262,963.629,9.73348,71,18.19161387
6664,Polygon ZM,442.825861,1.424592,23.3236,0.750785,332.467,1.93475,52,5.812590974
6693,Polygon ZM,703.028808,2.291592,29.1953,0.628617,441.936,3.05225,71,10.8426381
6697,Polygon ZM,797.684516,1.483452,41.1721,0.638761,509.53,3.24625,71,14.87296823
6735,Polygon ZM,2200.601904,11.41732,40.9419,0.446787,983.201,16.0652,71,22.64959132
6745,Polygon ZM,680.015089,1.714935,32.644,0.683957,465.101,2.44715,71,10.31690769
6750,Polygon ZM,789.859128,2.369333,32.2586,0.642654,507.606,3.90074,71,11.52748168
6758,Polygon ZM,701.056557,2.114743,30.3063,0.761958,534.176,2.99909,52,7.214172265
6762,Polygon ZM,436.747335,1.020781,27.1752,0.779139,340.287,1.46376,52,6.001941847
6777,Polygon ZM,1737.710768,5.721213,45.6711,0.427704,743.226,9.61242,71,26.13738785
6787,Polygon ZM,478.648099,1.002034,30.0596,0.683721,327.262,1.68612,52,9.507220228
6796,Polygon ZM,725.293592,2.082984,31.5922,0.702946,509.842,3.9731,71,9.384589379
6802,Polygon ZM,946.193694,2.368663,38.6489,0.554294,524.469,4.63141,71,17.22604662
6820,Polygon ZM,833.131565,2.17577,35.5071,0.546851,455.599,3.29254,71,16.09000686
6849,Polygon ZM,1497.407853,10.407911,29.1788,0.857081,1283.4,13.2071,71,4.170204917
6862,Polygon ZM,357.74688,1.23285,20.2549,0.82841,296.361,1.45438,71,3.475538291
6869,Polygon ZM,574.633907,2.061391,25.1605,0.680929,391.285,2.67788,71,8.027985896
6895,Polygon ZM,498.712232,1.675913,24.2177,0.708683,353.429,2.14787,71,7.055027711
