ID,B2,B3,B4,B5,B6,B7,Class,nbr,ndsi,ndvi,Season
2_2_4_426,0.10252074,0.10194378,0.08570427,0.28854048,0.24230614,0.11961686,scrub,0.41386887,-0.4077339,0.54198813,2
2_2_4_427,0.10252074,0.10194378,0.08570427,0.28854048,0.24230614,0.11961686,scrub,0.41386887,-0.4077339,0.54198813,2
2_2_4_428,0.10212131,0.098398745,0.08623742,0.27673146,0.24786942,0.12235917,scrub,0.3868101,-0.4316616,0.52482194,2
2_2_4_429,0.10458447,0.10087863,0.08818559,0.27371588,0.25314718,0.12595403,scrub,0.36970973,-0.43010578,0.5126541,2
2_2_4_430,0.102750815,0.09892586,0.08645472,0.28363663,0.23336495,0.113673165,scrub,0.42778572,-0.40458265,0.53279257,2
2_2_4_431,0.10348172,0.10070111,0.085789,0.29316053,0.23273453,0.1110728,scrub,0.45045203,-0.39597875,0.54722726,2
2_2_4_432,0.10348172,0.10070111,0.085789,0.29316053,0.23273453,0.1110728,scrub,0.45045203,-0.39597875,0.54722726,2
2_2_4_433,0.10394094,0.10032387,0.08638815,0.28422663,0.24577776,0.12030197,scrub,0.4052239,-0.4202635,0.5338116,2
2_2_4_434,0.10259429,0.098814905,0.08452413,0.2772592,0.24763466,0.12237019,scrub,0.38758162,-0.4295568,0.5327362,2
2_2_4_435,0.103341796,0.10163312,0.08565586,0.2753985,0.25114772,0.124733575,scrub,0.37653798,-0.42381725,0.5255237,2
2_2_4_436,0.103341796,0.10163312,0.08565586,0.2753985,0.25114772,0.124733575,scrub,0.37653798,-0.42381725,0.5255237,2
2_2_4_437,0.10338618,0.10112273,0.08736454,0.27732146,0.2529511,0.12835065,scrub,0.36721975,-0.42880425,0.520878,2
2_2_4_438,0.104024,0.10174407,0.089095406,0.27188036,0.24903856,0.13023685,scrub,0.35224435,-0.41990247,0.5063635,2
2_2_4_439,0.10482857,0.10294236,0.09020494,0.2727107,0.2580771,0.13483031,scrub,0.33832276,-0.42971298,0.50288755,2
2_2_4_440,0.10595736,0.105472095,0.091958,0.2801622,0.26156104,0.1320121,scrub,0.35943553,-0.42527208,0.5057618,2
2_2_4_441,0.10595736,0.105472095,0.091958,0.2801622,0.26156104,0.1320121,scrub,0.35943553,-0.42527208,0.5057618,2
2_2_4_442,0.10311989,0.10056207,0.08770836,0.27277628,0.2500441,0.12525463,scrub,0.37062863,-0.4263531,0.5133864,2
2_2_4_443,0.10558305,0.104340374,0.09095942,0.26563078,0.2532461,0.12972647,scrub,0.34375066,-0.4164188,0.4898378,2
2_2_4_444,0.1049839,0.10267608,0.09018275,0.26586944,0.24684295,0.12628166,scrub,0.35595405,-0.41247216,0.4934296,2
2_2_4_445,0.10518362,0.10241102,0.09042685,0.26630333,0.2479526,0.1261287,scrub,0.35719466,-0.41540152,0.49302384,2
2_2_4_446,0.10518362,0.10241102,0.09042685,0.26630333,0.2479526,0.1261287,scrub,0.35719466,-0.41540152,0.49302384,2
2_2_4_447,0.10467324,0.10269827,0.090027414,0.27196774,0.2485863,0.124970555,scrub,0.37032753,-0.41529873,0.5026043,2
2_2_4_448,0.104540095,0.10174407,0.08849626,0.27850145,0.25727752,0.12938875,scrub,0.3655707,-0.43321475,0.51772857,2
2_2_4_449,0.10536114,0.10329741,0.09071533,0.27745256,0.25921226,0.12948237,scrub,0.36362123,-0.43009844,0.50720674,2
2_2_4_450,0.10598248,0.10458447,0.09127009,0.28894663,0.25582102,0.13345388,scrub,0.3681169,-0.41962886,0.5199049,2
2_2_4_451,0.10493952,0.10236541,0.08871817,0.2918966,0.24699512,0.12673663,scrub,0.39452192,-0.41398412,0.53381646,2
2_2_4_452,0.10493952,0.10236541,0.08871817,0.2918966,0.24699512,0.12673663,scrub,0.39452192,-0.41398412,0.53381646,2
2_2_4_453,0.105410956,0.10161093,0.08927293,0.2892106,0.24801683,0.12741053,scrub,0.3883626,-0.41874793,0.5282599,2
2_2_4_454,0.105172805,0.10174407,0.08880693,0.28878894,0.2574665,0.13356544,scrub,0.3675196,-0.43351293,0.52961916,2
