system:index,Class,NDVI,NDVI_variance
1_1_9_144,2,0.68044615,0.018750098
1_1_9_145,2,0.6867151,0.018348749
1_1_9_146,2,0.6796097,0.01940909
1_1_9_147,2,0.666274,0.016104914
1_1_9_148,2,0.66634536,0.018013464
1_1_9_149,2,0.66634536,0.018013464
1_1_9_150,2,0.6738268,0.020315252
1_1_9_151,2,0.705605,0.022459152
1_1_9_152,2,0.6917494,0.020777778
1_1_9_153,2,0.6980642,0.022107251
1_1_9_154,2,0.7105916,0.025218203
1_1_9_155,2,0.7105916,0.025218203
1_1_9_156,2,0.6993687,0.023464388
1_1_9_157,2,0.7542157,0.030905842
1_1_9_158,2,0.7542157,0.030905842
1_1_9_159,2,0.6706444,0.019642809
1_1_9_160,2,0.7075994,0.021140564
1_1_9_161,2,0.7144317,0.022013329
1_1_9_162,2,0.71582663,0.021376238
1_1_9_163,2,0.71582663,0.021376238
1_1_9_164,2,0.69765955,0.020397833
1_1_9_165,2,0.7143224,0.021150113
1_1_9_166,2,0.6890868,0.021386485
1_1_9_167,2,0.67080206,0.017675643
1_1_9_168,2,0.67080206,0.017675643
1_1_9_169,2,0.6877739,0.017562077
1_1_9_170,2,0.6818303,0.019694578
1_1_9_171,2,0.6465328,0.014721761
1_1_9_172,2,0.66910446,0.016119162
1_1_9_173,2,0.66910446,0.016119162
1_1_9_174,2,0.66798365,0.017301934
1_1_9_175,2,0.67081666,0.017434926
1_1_9_176,2,0.68033946,0.01802071
1_1_9_177,2,0.68534946,0.019400528
1_1_9_178,2,0.69439685,0.020024481
1_1_9_179,2,0.69439685,0.020764707
1_1_9_180,2,0.6852421,0.023391755
1_1_9_181,2,0.72996414,0.026784813
1_1_9_182,2,0.72996414,0.026784813
1_1_9_183,2,0.7038439,0.022839783
1_1_9_184,2,0.7052466,0.021438048
1_1_9_185,2,0.69908935,0.020180272
1_1_9_186,2,0.704207,0.021241577
1_1_9_187,2,0.704207,0.021241577
1_1_9_188,2,0.6841832,0.019728103
1_1_9_189,2,0.68447274,0.018435947
1_1_9_190,2,0.69126207,0.021002943
1_1_9_191,2,0.67372036,0.017550103
1_1_9_192,2,0.67372036,0.017550103
1_1_9_193,2,0.6875317,0.021057203
1_1_9_194,2,0.6946838,0.020100182
1_1_9_195,2,0.65076804,0.01472705
1_1_9_196,2,0.6759732,0.015909607
1_1_9_197,2,0.70079863,0.017906871
1_1_9_198,2,0.70079863,0.017906871
1_1_9_199,2,0.6812451,0.018256634
1_1_9_200,2,0.67360294,0.017418178
1_1_9_201,2,0.70567876,0.021871829
1_1_9_202,2,0.71281666,0.022820683
1_1_9_203,2,0.71281666,0.023368022
1_1_9_204,2,0.6995703,0.025521876
1_1_9_205,2,0.71326584,0.024435978
1_1_9_206,2,0.71326584,0.024435978
1_1_9_207,2,0.73385817,0.028771207
1_1_9_208,2,0.748479,0.028049543
1_1_9_209,2,0.7220821,0.022421576
1_1_9_210,2,0.7165574,0.022551436
1_1_9_211,2,0.7165574,0.022551436
1_1_9_212,2,0.71945345,0.021440715
1_1_9_213,2,0.7055812,0.020461413
1_1_9_214,2,0.68990356,0.018961857
1_1_9_215,2,0.6784549,0.018028563
1_1_9_216,2,0.6784549,0.018028563
1_1_9_217,2,0.68402606,0.022184594
1_1_9_218,2,0.7123115,0.020185733
1_1_9_219,2,0.6653968,0.017089174
1_1_9_220,2,0.6930093,0.018192113
1_1_9_221,2,0.71041423,0.019766266
1_1_9_222,2,0.71041423,0.019766266
1_1_9_223,2,0.70573217,0.020919959
1_1_9_224,2,0.7158917,0.01979528
1_1_9_225,2,0.7265273,0.021681427
1_1_9_226,2,0.7245281,0.022866994
1_1_9_227,2,0.7245281,0.023865731
1_1_9_228,2,0.6952823,0.023717488
1_1_9_229,2,0.7011207,0.025177507
1_1_9_230,2,0.7011207,0.025177507
1_1_9_231,2,0.71397454,0.026115337
1_1_9_232,2,0.7487929,0.028765375
1_1_9_233,2,0.73378795,0.02265551
1_1_9_234,2,0.7238791,0.02126046
1_1_9_235,2,0.7238791,0.02126046
1_1_9_236,2,0.7230688,0.02034252
1_1_9_237,2,0.73715043,0.023352028
1_1_9_238,2,0.73412824,0.023228721
1_1_9_239,2,0.68459725,0.018386637
1_1_9_240,2,0.67379713,0.02152089
1_1_9_241,2,0.67379713,0.02152089
1_1_9_242,2,0.7294853,0.022000607
1_1_9_243,2,0.6792115,0.016603923
1_1_9_244,2,0.6954468,0.017322117
1_1_9_245,2,0.6981961,0.017636574
1_1_9_246,2,0.6981961,0.017636574
1_1_9_247,2,0.68569535,0.018824278
1_1_9_248,2,0.71365184,0.017515413
1_1_9_249,2,0.72054183,0.018333101
1_1_9_250,2,0.7266476,0.021879733
1_1_9_251,2,0.7266476,0.022159176
1_1_9_252,2,0.66858715,0.021243972
1_1_9_253,2,0.68309724,0.022904066
1_1_9_254,2,0.7137091,0.024473382
1_1_9_255,2,0.7137091,0.024473382
1_1_9_256,2,0.6778215,0.023199909
1_1_9_257,2,0.7106823,0.026231132
1_1_9_258,2,0.7402219,0.02514995
1_1_9_259,2,0.74260044,0.022284153
1_1_9_260,2,0.7270648,0.021126949
1_1_9_261,2,0.7270648,0.021126949
1_1_9_262,2,0.7283467,0.021666319
1_1_9_263,2,0.72603583,0.021925359
1_1_9_264,2,0.724349,0.019566276
1_1_9_265,2,0.67662585,0.018837467
1_1_9_266,2,0.67662585,0.018837467
1_1_9_267,2,0.69862676,0.020257174
1_1_9_268,2,0.6875,0.015842118
1_1_9_269,2,0.7103358,0.017371046
1_1_9_270,2,0.69499,0.0169711
1_1_9_271,2,0.69499,0.0169711
1_1_9_272,2,0.6969937,0.019819724
1_1_9_273,2,0.71463764,0.019144575
1_1_9_274,2,0.7036789,0.017408248
1_1_9_275,2,0.6811496,0.019688208
1_1_9_276,2,0.6811496,0.019788966
1_1_9_277,2,0.6589985,0.02253445
1_1_9_278,2,0.6706079,0.019229439
1_1_9_279,2,0.71040064,0.022401639
1_1_9_280,2,0.71040064,0.022401639
1_1_9_281,2,0.71605504,0.024829597
1_1_9_282,2,0.7216554,0.02650349
1_1_9_283,2,0.72233087,0.025986072
1_1_9_284,2,0.7214234,0.022155239
1_1_9_285,2,0.7145128,0.018849497
1_1_9_286,2,0.7145128,0.018849497
1_1_9_287,2,0.71471906,0.0186725
1_1_9_288,2,0.7238333,0.019566903
1_1_9_289,2,0.7399819,0.019848116
1_1_9_290,2,0.7109028,0.018778971
1_1_9_291,2,0.7109028,0.018778971
1_1_9_292,2,0.6945703,0.018902092
1_1_9_293,2,0.6989877,0.017550403
1_1_9_294,2,0.7096922,0.018865485
1_1_9_295,2,0.72247285,0.019580151
1_1_9_296,2,0.72247285,0.019580151
1_1_9_297,2,0.7100494,0.020002548
1_1_9_298,2,0.69547004,0.019396785
1_1_9_299,2,0.66599053,0.017019029
1_1_9_300,2,0.6219666,0.016801529
1_1_9_301,2,0.6219666,0.017452834
1_1_9_302,2,0.6327416,0.022954107
1_1_9_303,2,0.58175963,0.008047074
1_1_9_304,2,0.74363595,0.02974336
1_1_9_305,2,0.689941,0.022197903
1_1_9_306,2,0.689941,0.022197903
1_1_9_307,2,0.7136288,0.022662697
1_1_9_308,2,0.7204865,0.022424423
1_1_9_309,2,0.71773666,0.021680753
1_1_9_310,2,0.7283742,0.020500037
1_1_9_311,2,0.7283742,0.020500037
1_1_9_312,2,0.71248424,0.019086369
